type,ressources
google_project_iam_member,15
google_monitoring_alert_policy,11
google_bigquery_table,10
google_bigquery_dataset_iam_member,8
google_service_account,7
google_secret_manager_secret,6
google_secret_manager_secret_iam_member,6
google_secret_manager_secret_version,6
google_service_account_iam_member,6
google_cloud_run_v2_service,5
google_cloud_run_v2_service_iam_member,5
random_password,5
google_project_iam_audit_config,4
google_kms_crypto_key_iam_member,4
google_compute_backend_service,4
google_compute_region_network_endpoint_group,4
google_logging_project_sink,4
google_compute_firewall,4
google_cloud_run_v2_job,3
google_bigquery_table_iam_member,3
google_compute_managed_ssl_certificate,3
google_logging_metric,3
google_cloud_run_v2_job_iam_member,2
google_cloud_scheduler_job,2
google_compute_global_address,2
google_sql_database,2
google_sql_user,2
google_bigquery_data_transfer_config,2
google_kms_crypto_key,2
google_kms_key_ring,2
google_compute_global_forwarding_rule,2
google_compute_url_map,2
google_monitoring_notification_channel,2
google_monitoring_slo,2
google_compute_subnetwork,2
google_project_service,1
google_artifact_registry_repository,1
google_bigquery_dataset,1
google_service_networking_connection,1
google_sql_database_instance,1
random_id,1
google_storage_bucket,1
google_storage_bucket_iam_member,1
google_iam_workload_identity_pool,1
google_iam_workload_identity_pool_provider,1
google_project_service_identity,1
google_compute_security_policy,1
google_compute_ssl_policy,1
google_compute_target_http_proxy,1
google_compute_target_https_proxy,1
google_monitoring_custom_service,1
google_monitoring_uptime_check_config,1
google_compute_network,1
google_compute_router,1
google_compute_router_nat,1
google_vpc_access_connector,1
